Mean Surface Air Temperature over Ocean or Land Areas (C)
Year,Land_Annual,Lowess(5),Ocean_Annual,Lowess(5)
1998,0.92,0.66,0.44,0.32
1999,0.69,0.71,0.23,0.34
2000,0.62,0.77,0.25,0.35
2001,0.81,0.81,0.38,0.36
2002,0.99,0.85,0.42,0.38
2003,0.93,0.90,0.44,0.40
2004,0.77,0.95,0.43,0.41
2005,1.11,0.97,0.43,0.41
2006,0.95,0.98,0.43,0.41
2007,1.18,0.99,0.34,0.41
2008,0.87,1.00,0.33,0.40
2009,0.95,1.00,0.47,0.40
2010,1.12,1.00,0.47,0.41
2011,0.96,1.01,0.35,0.44
2012,0.96,1.04,0.42,0.47
2013,1.07,1.10,0.46,0.51
2014,1.02,1.16,0.55,0.55
2015,1.30,1.21,0.68,0.59
2016,1.47,1.27,0.70,0.62
2017,1.37,1.32,0.64,0.64
2018,1.22,1.38,0.60,0.67
2019,1.43,1.43,0.68,0.69
